gamma,beta,coverage_true,coverage_noisy,width_true,width_noisy,n
0.0,0.0,0.9139019607843137,0.9139019607843137,9.787822988990063,9.787822988990063,1000.0
0.0,0.01,0.9136470588235294,0.9165098039215687,10.2722792339206,26.212895772105544,1000.0
0.0,0.025,0.914921568627451,0.9187058823529411,9.781155660500437,37.73597000687034,1000.0
0.0,0.05,0.918078431372549,0.9145490196078432,10.263799352698873,51.589185151828,1000.0
0.0,0.1,0.9149607843137255,0.9163333333333333,9.786548079830094,72.71392132614969,1000.0
0.0,0.2,0.9175686274509804,0.9141764705882353,9.799159587481395,103.10348791465734,1000.0
0.01,0.0,0.9174705882352941,0.9180980392156862,10.552705979735086,33.1491486439887,1000.0
0.01,0.01,0.913156862745098,0.9166666666666666,10.157533363762996,40.26669572631952,1000.0
0.01,0.025,0.9137058823529411,0.9135490196078432,9.782263672085978,47.908166614009666,1000.0
0.01,0.05,0.9140980392156862,0.9187058823529411,10.24672932821946,60.30984541902756,1000.0
0.01,0.1,0.919078431372549,0.9163725490196079,9.750413173999354,78.87798108346395,1000.0
0.01,0.2,0.9149803921568628,0.9144705882352941,10.101495957401708,109.43808904286689,1000.0
0.025,0.0,0.9144705882352941,0.9184117647058824,9.717291307323714,49.008027877566576,1000.0
0.025,0.01,0.9158627450980392,0.9151764705882353,9.839422461761648,54.06808125051515,1000.0
0.025,0.025,0.914843137254902,0.915921568627451,10.313046906602063,61.73875370446629,1000.0
0.025,0.05,0.9133921568627451,0.9171372549019607,9.738505789672061,71.66175735658494,1000.0
0.025,0.1,0.9169607843137255,0.921843137254902,9.72074988986038,89.60854030612867,1000.0
0.025,0.2,0.9183921568627451,0.9156274509803921,9.785048284160753,118.14378714233708,1000.0
0.05,0.0,0.9161176470588235,0.9177647058823529,9.494658100048339,67.75370097330543,1000.0
0.05,0.01,0.9154705882352941,0.9157843137254902,9.938365675879272,71.76457245260214,1000.0
0.05,0.025,0.9160588235294118,0.915,9.997901052530413,77.9045484470581,1000.0
0.05,0.05,0.9164313725490196,0.9162941176470588,10.162682915037472,86.77651975203736,1000.0
0.05,0.1,0.9143921568627451,0.9169607843137255,9.521456660455835,102.62371907337001,1000.0
0.05,0.2,0.9145098039215687,0.9178823529411765,9.771543000100632,130.84169429454653,1000.0
0.1,0.0,0.9152745098039216,0.9169607843137255,9.597912682141137,94.15192796606519,1000.0
0.1,0.01,0.9132156862745098,0.9181960784313725,9.533767810084106,97.5173106460539,1000.0
0.1,0.025,0.9172549019607843,0.9159803921568628,9.744200752293748,101.77867059654297,1000.0
0.1,0.05,0.9160588235294118,0.9165686274509804,9.384987557063475,109.29146682327301,1000.0
0.1,0.1,0.9116078431372548,0.9181372549019607,9.843354166559626,124.8127432292157,1000.0
0.1,0.2,0.9147647058823529,0.9192745098039216,10.043548806089877,153.11545774104383,1000.0
0.2,0.0,0.9189019607843137,0.92,9.74429513168723,131.23127797716324,1000.0
0.2,0.01,0.9142745098039216,0.9117058823529411,9.427225125116195,131.9938257205505,1000.0
0.2,0.025,0.9161960784313725,0.9171372549019607,10.486379743571993,139.52989552530545,1000.0
0.2,0.05,0.9186470588235294,0.9160196078431373,10.006355597308783,145.74725378335444,1000.0
0.2,0.1,0.9200588235294118,0.9167058823529411,9.864734835730946,159.3846131916705,1000.0
0.2,0.2,0.9147843137254902,0.915,9.990567472377064,185.28777160773916,1000.0
